Course Name,Display Name,City,Zip,Type,Website,Booking Platform,Booking URL,Online Booking,Confidence,Notes
Apple Ridge Country Club,,Mahwah,,Semi-Private,http://www.appleridgecountryclub.com,,,no,low,Pro shop (201) 327-8000 | 18 holes; semi-private; Chronogolf listing shows no-online-booking pin (phone only); coords approx | North Jersey region | Bergen County | Source sheet verification: NO_ONLINE
High Mountain Golf Club,,Franklin Lakes,,Closed,,,,no,low,Former 18-hole public course; closed and redeveloped as Toll Brothers Reserve at Franklin Lakes; coords approx | North Jersey region | Bergen County | Source sheet verification: Closed
Ridgewood Country Club - East,,Paramus,,Private,https://www.ridgewoodcc.org/,,,no,low,9-hole East nine of A.W. Tillinghast 27-hole private club; hosted Ryder Cup and Barclays; members only | North Jersey region | Bergen County | Source sheet verification: Private
Ridgewood Country Club - West,,Paramus,,Private,https://www.ridgewoodcc.org/,,,no,low,9-hole West nine of Tillinghast 27-hole private club; members only | North Jersey region | Bergen County | Source sheet verification: Private
Ridgewood Country Club - Center,,Paramus,,Private,https://www.ridgewoodcc.org/,,,no,low,9-hole Center nine of Tillinghast 27-hole private club; members only | North Jersey region | Bergen County | Source sheet verification: Private
Alpine Country Club,,Demarest,,Private,,,,no,low,18-hole private club located in Demarest; members only; coords approx | North Jersey region | Bergen County | Source sheet verification: Private
Arcola Country Club,,Paramus,,Private,,,,no,low,18-hole private club; members only | North Jersey region | Bergen County | Source sheet verification: Private
Hackensack Golf Club,,Oradell,,Private,,,,no,low,18-hole private club in Oradell; members only; coords approx | North Jersey region | Bergen County | Source sheet verification: Private
White Beeches Golf & Country Club,,Haworth,,Private,,,,no,low,18-hole private club; members only; coords approx | North Jersey region | Bergen County | Source sheet verification: Private
Knickerbocker Country Club,,Tenafly,,Private,,,,no,low,18-hole private club; members only; coords approx | North Jersey region | Bergen County | Source sheet verification: Private
Montammy Golf Club,,Alpine,,Private,,,,no,low,18-hole private club in Alpine; members only; coords approx | North Jersey region | Bergen County | Source sheet verification: Private
Tamcrest Country Club,,Cresskill,,Private,,,,no,low,18-hole private club; members only; coords approx | North Jersey region | Bergen County | Source sheet verification: Private
Edgewood Country Club,,River Vale,,Private,,,,no,low,18-hole private club; members only | North Jersey region | Bergen County | Source sheet verification: Private
Ramsey Golf & Country Club,,Ramsey,,Private,,,,no,low,18-hole member-owned private club; members only | North Jersey region | Bergen County | Source sheet verification: Private
Skyway Golf Course,,Jersey City,,Municipal,https://www.skywaygolfcourse.com/,chronogolf,https://www.chronogolf.com/club/skyway-golf-course,yes,high,Pro shop (201) 763-7520 | 9-hole Hudson County public at Lincoln Park West; managed by KemperSports; live Chronogolf Reserve now pay later (saw $44 tee times) | North Jersey region | Hudson County | Source sheet verification: VERIFIED
Preakness Valley Golf Course - East,,Wayne,,Municipal,https://www.preaknessvalleygolf.com/,teeitup,https://preakness-valley.book.teeitup.golf,yes,high,Pro shop 973-881-4921 | 18-hole East course of 36-hole Passaic County facility; own site books via live TeeItUp; coords approx | North Jersey region | Passaic County | Source sheet verification: VERIFIED
Preakness Valley Golf Course - West,,Wayne,,Municipal,https://www.preaknessvalleygolf.com/,teeitup,https://preakness-valley.book.teeitup.golf,yes,high,Pro shop 973-881-4921 | 18-hole West course of 36-hole Passaic County facility; live TeeItUp booking; coords approx | North Jersey region | Passaic County | Source sheet verification: VERIFIED
North Jersey Country Club,,Wayne,,Private,,,,no,low,18-hole private club; members only | North Jersey region | Passaic County | Source sheet verification: Private
Preakness Hills Country Club,,Wayne,,Private,,,,no,low,18-hole private club; members only | North Jersey region | Passaic County | Source sheet verification: Private
Upper Montclair Country Club - East,,Clifton,,Private,https://www.uppermontclaircountryclub.com/,,,no,low,9-hole East nine of 27-hole private club; hosts professional events; members only | North Jersey region | Passaic County | Source sheet verification: Private
Upper Montclair Country Club - West,,Clifton,,Private,https://www.uppermontclaircountryclub.com/,,,no,low,9-hole West nine of 27-hole private club; members only | North Jersey region | Passaic County | Source sheet verification: Private
Upper Montclair Country Club - South,,Clifton,,Private,https://www.uppermontclaircountryclub.com/,,,no,low,9-hole South nine of 27-hole private club; members only | North Jersey region | Passaic County | Source sheet verification: Private
Packanack Golf Club,,Wayne,,Private,,,,no,low,9-hole private lake-community club at Packanack Lake; members only; coords approx | North Jersey region | Passaic County | Source sheet verification: Private
Francis A. Byrne Golf Course,,West Orange,,Municipal,https://essexcountyparks.org/golf,foreup,https://foreupsoftware.com/index.php/booking/22527/11077#teetimes,yes,high,Pro shop (973) 736-2306 | 18 holes; Essex County Parks course; KemperSports-managed; shared Essex County ForeUp tee sheet with Hendricks and Weequahic | North Jersey region | Essex County | Source sheet verification: VERIFIED
Hendricks Field Golf Course,,Belleville,,Municipal,https://essexcountyparks.org/golf,foreup,https://foreupsoftware.com/index.php/booking/22527/11077#teetimes,yes,high,Pro shop (973) 751-0178 | 18 holes; Essex County Parks course on Belleville-Nutley line; shared Essex County ForeUp booking | North Jersey region | Essex County | Source sheet verification: VERIFIED
Weequahic Golf Course,,Newark,,Municipal,https://essexcountyparks.org/golf,foreup,https://foreupsoftware.com/index.php/booking/22527/11077#teetimes,yes,high,Pro shop (973) 926-2520 | 18 holes; Essex County Parks course in Weequahic Park; shared Essex County ForeUp booking; coords approx (geocoder no-match on Thomas Carmichael Dr) | North Jersey region | Essex County | Source sheet verification: VERIFIED
Rock Spring Golf Club,,West Orange,,Municipal,https://rockspringgolf.com,chronogolf,https://www.chronogolf.com/club/rock-spring-golf-club-at-west-orange,yes,high,Pro shop (973) 731-6464 | Par 71 approx 6600 yds; est 1925; formerly private Rock Spring Country Club — KemperSports-managed West Orange municipal course (township-owned since 2015); tee-time waitlist at rockspringgolf.noteefy.app; direct online booking engine not confirmed - call pro shop — Own site Book-a-Tee-Time links chronogolf club 10038; live tee times shown (approx $122); KemperSports-run public daily-fee; Noteefy is only a waitlist add-on | North Jersey region | Essex County | Source sheet verification: VERIFIED
East Orange Golf Course,,Short Hills,,Municipal,https://www.eastorangegolfcourse.com,teeitup,https://east-orange-golf-course.play.teeitup.com/,yes,high,Pro shop (973) 379-7190 | 18 holes; City of East Orange-owned daily-fee course — GolfNow marketplace lists facility 13620; course Chronogolf page shows no direct online booking; located in Millburn-Short Hills but owned by City of East Orange — Book A Tee Time on own site goes to TeeItUp (not GolfNow as previously noted) | North Jersey region | Essex County | Source sheet verification: VERIFIED
Montclair Golf Club,,West Orange,,Private,https://essexcountyparks.org/golf,,,no,low,36 holes (four nines in rotation); founded 1893; members only | North Jersey region | Essex County | Source sheet verification: Private
Essex County Country Club,,West Orange,,Private,,,,no,low,18 holes; founded 1887 (oldest club in NJ); Tillinghast/Raynor/Banks design; coords approx (geocoder no-match) | North Jersey region | Essex County | Source sheet verification: Private
Essex Fells Country Club,,Essex Fells,,Private,,,,no,low,18 holes; members only | North Jersey region | Essex County | Source sheet verification: Private
Crestmont Country Club,,West Orange,,Private,,,,no,low,18 holes; members only | North Jersey region | Essex County | Source sheet verification: Private
Mountain Ridge Country Club,,West Caldwell,,Private,,,,no,low,18 holes; Donald Ross design; members only | North Jersey region | Essex County | Source sheet verification: Private
Glen Ridge Country Club,,Glen Ridge,,Private,,,,no,low,18 holes; members only | North Jersey region | Essex County | Source sheet verification: Private
Cedar Hill Country Club,,Livingston,,Private,,,,no,low,Pro shop (973) 992-4700 | 18 holes par 71; members only; coords approx (geocoder no-match) | North Jersey region | Essex County | Source sheet verification: Private
Green Brook Country Club,,North Caldwell,,Private,,,,no,low,18 holes; members only | North Jersey region | Essex County | Source sheet verification: Private
Maplewood Country Club,,Maplewood,,Private,,,,no,low,18 holes; members only | North Jersey region | Essex County | Source sheet verification: Private
Galloping Hill Golf Course,,Kenilworth,,Municipal,https://www.gallopinghillgolfcourse.com,ezlinks,https://unioncountygolf.ezlinksgolf.com/,yes,high,"27 holes (18 championship + 9-hole Short Nine); Union County course; KemperSports-managed; phone reservation line 866-802-0868 | North Jersey region | Union County | Source sheet verification: VERIFIED | Re-verified 2026-09-01 in browser: vip.teeitup.com/topaz is a GolfNow website TEMPLATE, not a booking engine; the real Book page links the Union County EZLinks portal (course ids 4549 GC + 4551 Learning Center 9; Ash Brook is 4545 on the same portal)"
Ash Brook Golf Course,,Scotch Plains,,Municipal,https://www.ashbrookgolfcourse.com,golfnow,https://www.golfnow.com/tee-times/facility/5096-ash-brook-golf-course/search,yes,high,Pro shop (908) 490-8620 | 18 holes par 72; Union County course; Tull 1953 / RTJ Sr 1982 redesign — GolfNow facility page resolves; Union County primary reservations via Player's Card portal at ashbrookgolfcourse.com/request-tt | North Jersey region | Union County | Source sheet verification: VERIFIED
Ash Brook Pitch and Putt,,Scotch Plains,,Executive/Par-3,https://www.ashbrookgolfcourse.com,,,no,low,Pro shop (908) 490-8620 | Par-3 pitch and putt at Ash Brook facility; Union County — separate short course; call pro shop | North Jersey region | Union County | Source sheet verification: NO_ONLINE
Oak Ridge Golf Course,,Clark,,Municipal,,,,no,low,Pro shop (908) 574-0139 | 18 holes; Union County course in Oak Ridge Park — Union County course; online reservations via Union County Player's Card system; exact public booking URL not captured; call pro shop — Union County-owned course; no public online booking channel confirmed (county site only lists Ash Brook and Galloping Hill); call pro shop | North Jersey region | Union County | Source sheet verification: NO_ONLINE
Baltusrol Golf Club - Lower Course,,Springfield,,Private,,,,no,low,18 holes; multi-time US Open venue; A.W. Tillinghast; members only | North Jersey region | Union County | Source sheet verification: Private
Baltusrol Golf Club - Upper Course,,Springfield,,Private,,,,no,low,18 holes; A.W. Tillinghast; members only | North Jersey region | Union County | Source sheet verification: Private
Canoe Brook Country Club - North Course,,Summit,,Private,,,,no,low,18 holes; members only | North Jersey region | Union County | Source sheet verification: Private
Canoe Brook Country Club - South Course,,Summit,,Private,,,,no,low,18 holes; members only | North Jersey region | Union County | Source sheet verification: Private
Echo Lake Country Club,,Westfield,,Private,,,,no,low,18 holes; Donald Ross 1913; members only; coords approx (geocoder no-match) | North Jersey region | Union County | Source sheet verification: Private
Suburban Golf Club,,Union,,Private,,,,no,low,18 holes; members only | North Jersey region | Union County | Source sheet verification: Private
Shackamaxon Country Club,,Scotch Plains,,Private,,,,no,low,18 holes; A.W. Tillinghast; members only | North Jersey region | Union County | Source sheet verification: Private
Scotch Hills Country Club,,Scotch Plains,,Municipal,,,,no,low,Pro shop (908) 232-9748 | 9 holes; owned by Township of Scotch Plains; public daily-fee — small municipal 9-hole; call pro shop | North Jersey region | Union County | Source sheet verification: NO_ONLINE
Hyatt Hills Golf Complex,,Clark,,Public,https://www.hyatthills.com,teeitup,https://hyatt-hills-golf-complex.book.teeitup.golf/,yes,high,Pro shop (732) 669-9100 | 9-hole regulation course plus lighted driving range; joint Clark-Cranford municipal facility; coords approx (geocoder no-match on 1300 Raritan Rd) | North Jersey region | Union County | Source sheet verification: VERIFIED
Berkshire Valley Golf Course,,Oak Ridge,,Municipal,https://www.berkshirevalleygc.com,teeitup,https://morris-county-golf.book.teeitup.com/?course=5150,yes,high,Pro shop (973) 208-0018 | 18 holes par 71; Morris County Park Commission; in Jefferson Township | Skylands region | Morris County | Source sheet verification: VERIFIED
Flanders Valley Golf Course - Red-Gold Course,,Flanders,,Municipal,https://www.flandersvalleygc.com,teeitup,https://morris-county-golf.book.teeitup.com/?course=5151,yes,high,"Pro shop (973) 584-5382 | 18 holes; one of two 18s at 36-hole Flanders Valley (Mount Olive); Morris County Park Commission; loop-to-ID mapping inferred (facility books both loops via course=5151,9535) | Skylands region | Morris County | Source sheet verification: VERIFIED"
Flanders Valley Golf Course - White-Blue Course,,Flanders,,Municipal,https://www.flandersvalleygc.com,teeitup,https://morris-county-golf.book.teeitup.com/?course=9535,yes,high,Pro shop (973) 584-5382 | 18 holes; second 18 at 36-hole Flanders Valley; Morris County Park Commission; loop-to-ID mapping inferred | Skylands region | Morris County | Source sheet verification: VERIFIED
Pinch Brook Golf Course,,Florham Park,,Municipal,https://www.pinchbrookgc.com,teeitup,https://morris-county-golf.book.teeitup.com/?course=5152,yes,high,Pro shop (973) 377-2039 | 18 holes; Morris County Park Commission | Skylands region | Morris County | Source sheet verification: VERIFIED
Sunset Valley Golf Course,,Pompton Plains,,Municipal,https://www.sunsetvalleygc.com,teeitup,https://morris-county-golf.book.teeitup.com/?course=5153,yes,high,Pro shop (973) 835-1515 | 18 holes; Morris County Park Commission; in Kinnelon | Skylands region | Morris County | Source sheet verification: VERIFIED
Knoll West Golf Club,,Parsippany,,Semi-Private,https://www.knollgolfclub.com,,,no,low,Pro shop (973) 263-7110 | 18 holes par 70; Charles Banks 1929; approx 750 members; Parsippany-Troy Hills; mailing Boonton; coords approx (geocoder no-match on 990 Greenbank Rd) — Chronogolf club page exists (the-knoll-west-golf-club) but live-widget status unconfirmed; call for tee times — Semi-private; online tee times are members-only (Class A/B portal); non-members walk-on and must call first; no public book link | Skylands region | Morris County | Source sheet verification: NO_ONLINE
Knoll East Country Club,,Parsippany,,Public,https://www.knollgolfclub.com,,,no,low,Pro shop (973) 263-7110 | 18 holes par 70; Hal Purdy 1961; Parsippany-Troy Hills; mailing Boonton; coords approx — GolfNow directory lists facility 8941 (not page-fetched); public daily-fee loop — Public course; own site states tee times are first-come first-serve with no online link; GolfNow facility 8941 exists but no confirmed live inventory / not the course own channel | Skylands region | Morris County | Source sheet verification: NO_ONLINE
Morris County Golf Club,,Convent Station,,Private,,,,no,low,18 holes; founded 1894; in Morris Township; members only | Skylands region | Morris County | Source sheet verification: Private
Roxiticus Golf Club,,Mendham,,Private,,,,no,low,18 holes; members only | Skylands region | Morris County | Source sheet verification: Private
Mendham Golf and Tennis Club,,Mendham,,Private,,,,no,low,18 holes; members only; coords approx (geocoder no-match on Golf Lane) | Skylands region | Morris County | Source sheet verification: Private
Rockaway River Country Club,,Denville,,Private,,,,no,low,18 holes; members only | Skylands region | Morris County | Source sheet verification: Private
Brooklake Country Club,,Florham Park,,Private,,,,no,low,18 holes; members only | Skylands region | Morris County | Source sheet verification: Private
Fairmount Country Club,,Chatham Township,,Private,,,,no,low,18 holes; members only | Skylands region | Morris County | Source sheet verification: Private
Spring Brook Country Club,,Morris Township,,Private,,,,no,low,18 holes; members only | Skylands region | Morris County | Source sheet verification: Private
Madison Golf Club,,Madison,,Private,,,,no,low,Pro shop (973) 377-5264 | 9 holes par 62; members only | Skylands region | Morris County | Source sheet verification: Private
Ballyowen Golf Club,,Hamburg,,Resort,https://www.crystalgolfresort.com/,ezlinks,https://crystalgolfresortpub.ezlinksgolf.com/,yes,high,Pro shop 855-977-6473 | 18 holes; Crystal Springs Resort flagship links course; resort site names EZLinks and lists public/rewards/premier booking tiers | Skylands region | Sussex County | Source sheet verification: VERIFIED
Wild Turkey Golf Club,,Hamburg,,Resort,https://www.crystalgolfresort.com/,ezlinks,https://crystalgolfresortpub.ezlinksgolf.com/,yes,high,"Pro shop 855-977-6473 | 18 holes; Crystal Springs Resort (Hardyston); shared resort EZLinks booking; coords approx (Grand Cascades area, Wild Turkey Way not in Census file) | Skylands region | Sussex County | Source sheet verification: VERIFIED"
Crystal Springs Golf Club,,Hamburg,,Resort,https://www.crystalgolfresort.com/,ezlinks,https://crystalgolfresortpub.ezlinksgolf.com/,yes,high,Pro shop 855-977-6473 | 18 holes; Crystal Springs Resort championship course; shared resort EZLinks booking; coords approx (city fallback) | Skylands region | Sussex County | Source sheet verification: VERIFIED
Black Bear Golf Club,,Franklin,,Resort,https://www.crystalgolfresort.com/,ezlinks,https://crystalgolfresortpub.ezlinksgolf.com/,yes,high,Pro shop 855-977-6473 | 18 holes; 138 State Route 23; Crystal Springs Resort course; coords approx (Route 23 not in Census file) | Skylands region | Sussex County | Source sheet verification: VERIFIED
Cascades Golf Course,,Hamburg,,Resort,https://www.crystalgolfresort.com/,ezlinks,https://crystalgolfresortpub.ezlinksgolf.com/,yes,high,"Pro shop 855-977-6473 | 9-hole executive; at Grand Cascades Lodge, 1 Wild Turkey Way; family-friendly; shared resort EZLinks; coords approx | Skylands region | Sussex County | Source sheet verification: VERIFIED"
Minerals Golf Club,,Vernon,,Resort,https://www.crystalgolfresort.com/,ezlinks,https://crystalgolfresortpub.ezlinksgolf.com/,yes,high,Pro shop 855-977-6473 | 9-hole executive (2305 yds); 2 Chamonix Dr at Minerals Resort; shared resort EZLinks | Skylands region | Sussex County | Source sheet verification: VERIFIED
Great Gorge Golf Club,,Vernon,,Public,https://greatgorgegolfclub.com/,chronogolf,https://www.chronogolf.com/club/great-gorge-golf-club,yes,high,Pro shop 862-801-7031 | 27-hole Fazio (Lake/Quarry/Rail); 414 County Rd 517 McAfee; own site book link goes to Chronogolf; also on GolfNow; coords approx | Skylands region | Sussex County | Source sheet verification: VERIFIED
Farmstead Golf & Country Club,,Lafayette,,Public,https://www.farmsteadgolf.com/,golfnow,https://www.golfnow.com/tee-times/facility/4803-farmstead-golf-country-club/search,yes,high,Pro shop 973-383-1666 | 27 holes (Clubside 18 + Valley View 9); 88 Lawrence Rd; GolfNow facility 4803 | Skylands region | Sussex County | Source sheet verification: VERIFIED
Wallkill Golf Club,,Franklin,,Semi-Private,https://wallkillgolfclubfranklin.com/,,,no,low,Pro shop 973-827-9620 | 9 holes; 34 Maple Rd; small self-described private club that historically allowed public play; no online booking | Skylands region | Sussex County | Source sheet verification: NO_ONLINE
High Point Golf Club,,Montague,,Public,https://highpointgolfclub.com/,clubcaddie,https://apimanager-cc20.clubcaddie.com/webapi/view/jafdabab,yes,high,Pro shop 973-293-0180 | 18 holes; 342 Shore Drive; own site book link uses Club Caddie; also on GolfNow | Skylands region | Sussex County | Source sheet verification: VERIFIED
Lake Mohawk Golf Club,,Sparta,,Private,,,,no,low,Private members club on Lake Mohawk; coords approx (clubhouse near W Shore Trail) | Skylands region | Sussex County | Source sheet verification: Private
Newton Country Club,,Newton,,Private,,,,no,low,9-hole private club; coords approx (city fallback) | Skylands region | Sussex County | Source sheet verification: Private
The Architects Golf Club,,Lopatcong,,Public,https://www.thearchitectsgolfclub.com/,golfnow,https://www.golfnow.com/tee-times/facility/5304-architects-golf-club/search,yes,high,Pro shop 908-213-3080 | 18 holes; 700 Strykers Rd Phillipsburg; homage to classic course architects; GolfNow facility 5304 | Skylands region | Warren County | Source sheet verification: VERIFIED
Hawk Pointe Golf Club,,Washington,,Public,https://www.hawkpointegolf.com/,golfnow,https://www.golfnow.com/tee-times/facility/11411-hawk-pointe/search,yes,high,Pro shop 908-689-1870 | 18 holes; 4 Clubhouse Drive; Troon-managed; GolfNow facility 11411 active; also Chronogolf listing; coords approx (GolfNow geo) | Skylands region | Warren County | Source sheet verification: VERIFIED
Apple Mountain Golf & Country Club,,Belvidere,,Public,https://applegolfclub.com/,golfnow,https://www.golfnow.com/tee-times/facility/6695-apple-mountain-golf-country-club/search,yes,high,18 holes; 369 Ellis Rd; GolfNow facility 6695; also Chronogolf listing; coords approx (city fallback) | Skylands region | Warren County | Source sheet verification: VERIFIED
Panther Valley Golf & Country Club,,Allamuchy,,Private,,,,no,low,18-hole private members club; MembersSports app noted; coords approx (city fallback) | Skylands region | Warren County | Source sheet verification: Private
Harkers Hollow Golf Club,,Phillipsburg,,Private,,,,no,low,18 holes; Harmony/Lopatcong area; now operates as private members club; coords approx (city fallback) | Skylands region | Warren County | Source sheet verification: Private
Heron Glen Golf Course,,Ringoes,,Municipal,https://www.heronglen.com/,teeitup,https://heron-glen-golf-course.book.teeitup.golf/,yes,high,Pro shop 908-806-6804 | 18 holes; Hunterdon County-owned public course; 110 State Hwy 202 and 31; own site book link goes to TeeItUp | Skylands region | Hunterdon County | Source sheet verification: VERIFIED
Beaver Brook Country Club,,Annandale,,Public,https://www.beaverbrookcc.com/,golfnow,https://www.golfnow.com/tee-times/facility/4052-beaver-brook-country-club/search,yes,high,Pro shop 908-735-4200 | 18 holes; 25 Country Club Dr (Clinton Twp); former private club now public; GolfNow facility 4052 | Skylands region | Hunterdon County | Source sheet verification: VERIFIED
High Bridge Hills Golf Club,,High Bridge,,Public,https://www.highbridgehills.com/,teeitup,https://high-bridge-hills-golf-club.book.teeitup.golf/,yes,high,Pro shop 908-638-5055 | 18 holes; 203 Cregar Rd; own site GOLF RATES section links to TeeItUp booking | Skylands region | Hunterdon County | Source sheet verification: VERIFIED
Copper Hill Country Club,,Ringoes,,Private,,,,no,low,18 holes; 100 Copper Hill Rd (Flemington/East Amwell); private members club | Skylands region | Hunterdon County | Source sheet verification: Private
Stanton Ridge Golf & Country Club,,Whitehouse Station,,Private,,,,no,low,18-hole private members club; coords approx (city fallback) | Skylands region | Hunterdon County | Source sheet verification: Private
The Ridge at Back Brook,,Ringoes,,Private,,,,no,low,18 holes; 100 Van Lieus Rd; high-end private members club | Skylands region | Hunterdon County | Source sheet verification: Private
Neshanic Valley Golf Course,,Neshanic Station,,Municipal,https://www.neshanicvalleygolf.com/,other:somerset-county,https://somersetcountygolf.us/tee-times,yes,high,"Pro shop 908-231-1122 | 27 holes (Meadow/Lake/Ridge); Somerset County Park Commission; 2301 South Branch Rd; booking via registration-gated county system (automated line 908-231-1122, 7-day advance for ID holders); Chronogolf listing is a no-online-booking placeholder | Central Jersey region | Somerset County | Source sheet verification: NO_ONLINE"
Neshanic Valley Academy Course,,Neshanic Station,,Executive/Par-3,https://www.neshanicvalleygolf.com/,other:somerset-county,https://somersetcountygolf.us/tee-times,yes,high,Pro shop 908-231-1122 | 9-hole par-32 Academy course at Neshanic Valley; Somerset County Park Commission; same registration-gated county reservation system | Central Jersey region | Somerset County | Source sheet verification: NO_ONLINE
Warrenbrook Golf Course,,Warren,,Municipal,https://www.warrenbrookgolf.com/,other:somerset-county,https://somersetcountygolf.us/tee-times,yes,high,Pro shop 908-231-1122 | 18 holes; Somerset County Park Commission; 500 Warrenville Rd; registration-gated county reservation system (automated line 908-231-1122); Chronogolf listing is a placeholder | Central Jersey region | Somerset County | Source sheet verification: NO_ONLINE
Quail Brook Golf Course,,Somerset,,Municipal,https://www.somersetcountygolf.us/,other:somerset-county,https://somersetcountygolf.us/tee-times,yes,high,Pro shop 908-231-1122 | 18 holes with driving range; Somerset County Park Commission (Franklin Twp); 625 New Brunswick Rd; registration-gated county reservation system; Chronogolf listing is a placeholder | Central Jersey region | Somerset County | Source sheet verification: NO_ONLINE
Spooky Brook Golf Course,,Somerset,,Municipal,https://www.somersetcountygolf.us/,other:somerset-county,https://somersetcountygolf.us/tee-times,yes,high,"Pro shop 908-231-1122 | 18 holes with driving range; Somerset County Park Commission (Franklin Twp, Colonial Park); 156 Mettlers Rd; registration-gated county reservation system | Central Jersey region | Somerset County | Source sheet verification: NO_ONLINE"
Green Knoll Golf Course,,Bridgewater,,Municipal,https://www.greenknollgolf.com/,other:somerset-county,https://somersetcountygolf.us/tee-times,yes,high,Pro shop 908-231-1122 | 18 holes; Somerset County Park Commission; 587 Garretson Rd; registration-gated county reservation system (automated line 908-231-1122) | Central Jersey region | Somerset County | Source sheet verification: NO_ONLINE
Green Knoll Pitch and Putt,,Bridgewater,,Executive/Par-3,https://www.greenknollgolf.com/,other:somerset-county,https://somersetcountygolf.us/tee-times,yes,high,Pro shop 908-231-1122 | 9-hole par-27 Pitch and Putt at Green Knoll; Somerset County Park Commission; walk-on short course | Central Jersey region | Somerset County | Source sheet verification: NO_ONLINE
Royce Brook Golf Club,,Hillsborough,,Public,https://www.roycebrook.com/,teeitup,https://royce-brook-golf-club.book.teeitup.com/,yes,high,Pro shop 908-904-0499 | 18 holes; 201 Hamilton Rd; former East and West courses now combined into one renovated championship layout; own site book link goes to TeeItUp | Central Jersey region | Somerset County | Source sheet verification: VERIFIED
Bunker Hill Golf Course,,Princeton,,Public,https://www.bunker.distinctgolf.com/,golfnow,https://www.golfnow.com/tee-times/facility/5172-bunker-hill-golf-course/search,yes,high,"Pro shop 908-359-6335 | 18 holes; 220 Bunker Hill Rd (Franklin Twp, Griggstown); Distinct Golf; own site uses Golf Channel Solutions/GolfNow; GolfNow facility 5172 | Central Jersey region | Somerset County | Source sheet verification: VERIFIED"
Basking Ridge Country Club,,Basking Ridge,,Private,https://www.baskingridgecc.com/,,,no,low,Pro shop 908-766-8200 | 18-hole par-71; 185 Madisonville Rd (Bernards Twp); now owned/operated by Heritage Golf Group as a private members club | Central Jersey region | Somerset County | Source sheet verification: Private
